nback+,Precentral_L,Precentral_R,Frontal_Sup_L,Frontal_Sup_R,Frontal_Sup_Orb_L,Frontal_Sup_Orb_R,Frontal_Mid_L,Frontal_Mid_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_L,Frontal_Inf_Orb_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Mid_Orb_L,Frontal_Mid_Orb_R,Rectus_L,Rectus_R,Insula_L,Insula_R,Cingulum_Ant_L,Cingulum_Ant_R,Cingulum_Mid_L,Cingulum_Mid_R,Cingulum_Post_L,Cingulum_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Cuneus_R,Lingual_L,Lingual_R,Occipital_Sup_L,Occipital_Sup_R,Occipital_Mid_L,Occipital_Mid_R,Occipital_Inf_L,Occipital_Inf_R,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,
Allen,Beneventi,Beneventi,Rama,Ciesielski,,,Binder,Campanella,Yoo1,Riccaiardi,Beneventi,Binder,Allen,Allen,Binder,Binder,,Ciesielski,Allen,Beneventi,,Oren,Beneventi,Yan,Yoo1,Riccaiardi,Thornton,,Beneventi,Campanella,Falkenberg,Binder,Binder,Allen,Park,Park,,,Oren,Park,,,Oren,,Rama,Schneiders,Beneventi,,Riccaiardi,Choo,Binder,Beneventi,,Yoo1,Beneventi,Beneventi,Rama,Druzgal,Allen,Binder,Binder,Allen,6
Beneventi,Binder,Campanella,Ravizza,Gillis,,,Duggirala,Choo,Yoo2,Yoo1,Binder,Duggirala,Beneventi,Binder,Ciesielski,Druzgal,,Riccaiardi,Beneventi,Campanella,,,Campanella,Yoo1,Yoo2,Yoo1,,,Druzgal,Duggirala,,Riccaiardi,Yoo1,Binder,Wesley,Wu,,,Park,,,,Rama,,,,,,SÁNCHEZ-CARRIÓN,Druzgal,Duggirala,Leung,,Yoo2,Binder,Mattfeld,Riccaiardi,Riccaiardi,Beneventi,Gillis,Campanella,Binder,16
Binder,Druzgal,Druzgal,Riccaiardi,Lamp,,,Fusar-Poli,Duggirala,,Yoo2,Choo,Rama,Binder,Ciesielski,Yoo1,Oren,,,Binder,Druzgal,,,Choo,Yoo2,,Yoo2,,,Duggirala,Gillis,,Richter,Yoo2,Ciesielski,,,,,Yüksel,,,,,,,,,,Schneiders,Gillis,Gillis,Park,,Yüksel,Duggirala,,Yoo1,,Binder,Leung,Duggirala,Falkenberg,27
Campanella,Duggirala,Gillis,,Leung,,,Johannsen,Falkenberg,,,Duggirala,Sabri,Ciesielski,Gillis,Yoo2,Park,,,Campanella,Gillis,,,Lamp,,,,,,Falkenberg,Johannsen,,Yoo1,,Duggirala,,,,,,,,,,,,,,,,Rama,Park,Rama,,,Park,,Yoo2,,Druzgal,Qin,Fusar-Poli,Fusar-Poli,6
Choo,Falkenberg,Lamp,,Rama,,,Leung,Gillis,,,Fusar-Poli,SÁNCHEZ-CARRIÓN,Druzgal,Malisza,,Riccaiardi,,,Choo,Lamp,,,Manelis,,,,,,Fusar-Poli,Leung,,Yoo2,,Lamp,,,,,,,,,,,,,,,,Riccaiardi,Rama,SÁNCHEZ-CARRIÓN,,,Yoo1,,,,Gillis,Rama,Gillis,Gillis,5
Ciesielski,Gillis,Leung,,Riccaiardi,,,Luo,Johannsen,,,Gillis,Schneiders,Duggirala,Rama,,Yoo1,,,Duggirala,Leung,,,Rama,,,,,,Gillis,Manelis,,,,Leung,,,,,,,,,,,,,,,,Sabri,Richter,Yüksel,,,Yoo2,,,,Johannsen,Richter,Johannsen,Lamp,6
Cohen,Johannsen,Luo,,Sabri,,,Malisza,Leung,,,Rama,Veltman,Leung,Riccaiardi,,Yoo2,,,Falkenberg,Malisza,,,Riccaiardi,,,,,,Manelis,Park,,,,Riccaiardi,,,,,,,,,,,,,,,,Schneiders,Sabri,,,,,,,,Manelis,Sabri,Leung,Leung,
Dores,Oren,Mattfeld,,SÁNCHEZ-CARRIÓN,,,Manelis,Manelis,,,Riccaiardi,Yoo1,Luo,Schneiders,,,,,Gillis,Park,,,Richter,,,,,,Park,Qin,,,,SÁNCHEZ-CARRIÓN,,,,,,,,,,,,,,,,Wesley,Wu,,,,,,,,Park,SÁNCHEZ-CARRIÓN,Luo,Luo,
Druzgal,Park,Park,,Schneiders,,,Mattfeld,Mattfeld,,,Richter,Yoo2,Manelis,Wesley,,,,,Johannsen,Rama,,,Wesley,,,,,,Qin,Riccaiardi,,,,,,,,,,,,,,,,,,,,Zhou,Yüksel,,,,,,,,Rama,,Malisza,Manelis,9
